期間,期間ラベル,開始年,終了年,年数,GDP倍率,人口倍率,生産性倍率,GDP_CAGR,人口_CAGR,生産性_CAGR,人口寄与(ログ比),生産性寄与(ログ比)
"高度経済成長期
(1955-1973)",高度経済成長期,1955,1973,18,13.392857142857142,1.3449338408555374,9.958004428186367,0.15505873480052923,0.016599873169953483,0.1361979922334975,0.11421064691721808,0.8857893530827818
"安定成長期
(1973-1991)",安定成長期,1973,1991,18,4.172444444444444,1.1609164420485176,3.5940954002528183,0.08259531264800524,0.008323881865297311,0.07365830773075932,0.10445188246175457,0.8955481175382455
"1990年代以降
(1991-2024)",1990年代以降,1991,2024,33,1.2995313165743503,0.8544230322730438,1.520946027305904,0.00797110671502188,-0.0047561943423718445,0.012788123859744926,-0.6004833887978013,1.600483388797801
