date,dlog_USDJPY,d_SPREAD_10Y,d_BOJ_Share,dlog_Nikkei,dlog_Nikkei_USD,d_Interest_Payment,d_Interest_to_Tax
1990-03-31,,,,,,,
1991-03-31,-0.07145896398214457,8.881784197001252e-16,1.2188288035864385,-0.4380448129140966,-0.3665858489319511,-0.1999999999999993,-0.23845430414192492
1992-03-31,-0.07696104113612812,0.39999999999999947,0.5748628168278032,-0.03980808711227546,0.037152954023853546,-0.3000000000000007,1.3242671650600037
1993-03-31,-0.1187835359899676,-0.09999999999999964,-0.18726591760299982,0.08443962577247532,0.20322316176244115,-0.1999999999999993,-0.2575568120039158
1994-03-31,-0.1043600153242421,0.7999999999999989,0.2415458937198096,-0.2897769704112534,-0.18541695508700862,-0.3000000000000007,0.6252038708274412
1995-03-31,-0.06187540371808797,0.7000000000000002,-0.019323671497584627,0.3463310085528821,0.4082064122709683,0.3000000000000007,0.14113130856949496
1996-03-31,0.14805309995913962,0.10000000000000098,0.25396825396825307,-0.1731328458866983,-0.32118594584583793,0.1999999999999993,0.3838771593090229
1997-03-31,0.10444266336759789,0.8000000000000003,0.29900332225913573,-0.085543003516797,-0.189985666884394,-0.1999999999999993,-1.0761380106046943
1998-03-31,0.07940677760440984,-0.3000000000000007,-0.49270792274339925,-0.04270957791480434,-0.12211635551921596,-0.10000000000000142,1.6228132769486123
1999-03-31,-0.13899887480665551,-0.20000000000000018,-1.2865019399632391,0.2501560578730544,0.3891549326797108,-0.1999999999999993,0.5858436835243239
2000-03-31,-0.054067221270275745,0.5,-0.7169984284965967,-0.4475694556910561,-0.39350223442078036,0.09999999999999964,-1.338464881489653
2001-03-31,0.12188981760903683,-0.6999999999999997,1.6359804791481807,-0.16479771715457936,-0.2866875347636162,-0.40000000000000036,0.38706542641021713
2002-03-31,0.02429269256904476,-0.30000000000000027,2.4207426438508897,-0.32413931192075474,-0.3484320044897995,-0.3999999999999986,1.080065966959328
2003-03-31,-0.07472354619593702,-0.2999999999999998,1.7853708737662224,0.3849346696092102,0.4596582158051472,-0.5,-0.8963691775549165
2004-03-31,-0.07145896398214457,-0.20000000000000018,-1.7496700183737275,-0.0040200199542841375,0.06743894402786133,-0.40000000000000036,-1.9605161865402572
2005-03-31,0.0452565915881209,0.0,-1.960277290824532,0.37982787169290866,0.334571280104786,-0.40000000000000036,-2.20593489834566
2006-03-31,0.034786116085415486,0.20000000000000018,-2.98005450057782,0.013276850242267102,-0.021509265843148384,0.09999999999999964,0.2036659877800382
2007-03-31,-0.02597548640326064,-0.10000000000000053,-1.5284282795713864,-0.3222281269697227,-0.2962526405664603,0.3000000000000007,-0.06429455692663666
2008-03-31,-0.12107793155323598,-0.6999999999999993,-2.4960560080707968,-0.434752091008507,-0.3136741594552719,-0.09999999999999964,2.4135794272562308
2009-03-31,-0.0825210236880034,-0.2000000000000004,0.02775002775002733,0.31297907000865877,0.39550009369666217,-0.3000000000000007,2.099264469992587
2010-03-31,-0.07825219689974894,0.10000000000000031,1.6729302443588168,-0.12817365189600416,-0.04992145499625611,-0.09999999999999964,-1.7228604339839961
2011-03-31,-0.08489944378648584,-0.30000000000000027,0.1663581620937684,0.033070863336002176,0.11797030712248979,0.09999999999999964,-0.38115077130953523
2012-03-31,0.049392755329576765,-0.7999999999999998,0.8256589393458249,0.20660367044493277,0.15721091511535512,0.1999999999999993,-0.042045430353610413
2013-03-31,0.18632957819149354,0.7,6.34575183986713,0.17899533517987898,-0.007334243011614561,-0.1999999999999993,-1.7326612707798148
2014-03-31,0.09531017980432477,0.30000000000000004,6.728083994978103,0.25877288717989266,0.163462707375567,-0.1999999999999993,-2.7147360126083555
2015-03-31,0.09531017980432477,-0.19999999999999996,9.104444636561869,-0.13634697402468632,-0.2316571538290111,-0.3000000000000007,-1.1607788961252528
2016-03-31,-0.11365931847252142,0.10000000000000009,8.377061720773554,0.12076224300798799,0.2344215614805094,-0.20000000000000018,-0.1555374201910631
2017-03-31,0.02739897418811399,0.34999999999999987,5.564984065582934,0.12627310897615374,0.09887413478804064,-0.2999999999999998,-1.2989520132377272
2018-03-31,0.0,0.6000000000000001,2.601130483070918,-0.01167410524868373,-0.01167410524868373,-0.20000000000000018,-0.669009325584538
2019-03-31,-0.018182319083190457,-0.6499999999999999,1.559989875562401,-0.11417601424302681,-0.09599369515983724,-0.20000000000000018,0.07144153134355413
2020-03-31,-0.027908788117076533,-1.3000000000000003,-0.13735115315251534,0.43335401196617696,0.4612628000832544,0.20000000000000018,-0.15095529920692208
2021-03-31,0.055059777183027236,0.3999999999999998,-0.3368944842204158,-0.04762386943737695,-0.10268364662040508,0.10000000000000053,-0.9618028279654354
2022-03-31,0.18677590714333547,1.4000000000000004,-0.38231129827650534,0.007876593656229502,-0.17889931348710508,0.09999999999999964,-0.49625291265193106
2023-03-31,0.07145896398214457,0.5999999999999996,1.7417371421069348,0.36439443882003353,0.29293547483788807,0.2999999999999998,0.2697846989354922
2024-03-31,0.06021885999305532,-0.09999999999999964,-1.2053115423901986,-0.011836227040216585,-0.07205508703327101,1.8999999999999995,1.6175895302108874
2025-03-31,-0.026317308317374,-0.5,0.6060606060606162,-0.11337480859455873,-0.08705750027718562,0.0,0.46303873431533127
